api,status,primary_category,runner_category,checkpoint_attempts,provider_error_attempts,provider_internal_retries,doc_rounds_used,repair_status,source,error,category_reason
AbsoluteSize,pending,pending,,0,0,,,,,,Not yet observed.
BicubicResizer,pending,pending,,0,0,,,,,,Not yet observed.
BilinearResizer,pending,pending,,0,0,,,,,,Not yet observed.
BufferedImageBuilder,pending,pending,,0,0,,,,,,Not yet observed.
BufferedImageSource,pending,pending,,0,0,,,,,,Not yet observed.
Canvas,pending,pending,,0,0,,,,,,Not yet observed.
Caption,pending,pending,,0,0,,,,,,Not yet observed.
Colorize,pending,pending,,0,0,,,,,,Not yet observed.
ConsecutivelyNumberedFilenames,pending,pending,,0,0,,,,,,Not yet observed.
Coordinate,pending,pending,,0,0,,,,,,Not yet observed.
FileImageSink,pending,pending,,0,0,,,,,,Not yet observed.
FileImageSource,pending,pending,,0,0,,,,,,Not yet observed.
FileThumbnailTask,pending,pending,,0,0,,,,,,Not yet observed.
FixedResizerFactory,pending,pending,,0,0,,,,,,Not yet observed.
FixedSizeThumbnailMaker,pending,pending,,0,0,,,,,,Not yet observed.
IfdStructure,pending,pending,,0,0,,,,,,Not yet observed.
InputStreamImageSource,pending,pending,,0,0,,,,,,Not yet observed.
NullResizer,pending,pending,,0,0,,,,,,Not yet observed.
OutputStreamImageSink,pending,pending,,0,0,,,,,,Not yet observed.
Pipeline,pending,pending,,0,0,,,,,,Not yet observed.
ProgressiveBilinearResizer,pending,pending,,0,0,,,,,,Not yet observed.
Region,pending,pending,,0,0,,,,,,Not yet observed.
RelativeSize,pending,pending,,0,0,,,,,,Not yet observed.
ScaledThumbnailMaker,pending,pending,,0,0,,,,,,Not yet observed.
SourceSinkThumbnailTask,pending,pending,,0,0,,,,,,Not yet observed.
StreamThumbnailTask,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailMaker,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailParameter,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailParameterBuilder,pending,pending,,0,0,,,,,,Not yet observed.
Transparency,pending,pending,,0,0,,,,,,Not yet observed.
URLImageSource,pending,pending,,0,0,,,,,,Not yet observed.
UnsupportedFormatException,pending,pending,,0,0,,,,,,Not yet observed.
Watermark,pending,pending,,0,0,,,,,,Not yet observed.
add,pending,pending,,0,0,,,,,,Not yet observed.
addAll,pending,pending,,0,0,,,,,,Not yet observed.
addFilter,pending,pending,,0,0,,,,,,Not yet observed.
addFilters,pending,pending,,0,0,,,,,,Not yet observed.
addFirst,pending,pending,,0,0,,,,,,Not yet observed.
allowOverwrite,pending,pending,,0,0,,,,,,Not yet observed.
alphaInterpolation,pending,pending,,0,0,,,,,,Not yet observed.
antialiasing,pending,pending,,0,0,,,,,,Not yet observed.
apply,pending,pending,,0,0,,,,,,Not yet observed.
asBufferedImage,pending,pending,,0,0,,,,,,Not yet observed.
asBufferedImages,pending,pending,,0,0,,,,,,Not yet observed.
asFiles,pending,pending,,0,0,,,,,,Not yet observed.
